"I-140 Priority Date","Category","I-485 Submission Date","I-485 Receipt Date","Biometric Date","EAD Approval Date if applied","Field Office Name","Silent updates Date after biometric","GC Approval Date","GC Received Date","Are you from a country of concern","Any comments","Additional Comments","","","","","","","","","","","","","",""
"4/20/2020","EB2","6/23/2025","6/23/2025","07/10/2025","09/07/2025","NBC —>Denver FO","","5/5/2026","5/14/2026","None","","","","","","","","","","","","","","","",""
"4/27/2023","EB2 NIW","6/12/2025","6/13/2025","8/8/2025","","Sacramento","1/30/2026","not yet","","None","","","","","","","","","","","","","","","",""
"8/15/2023","EB2","6/17/2025","6/18/2025","7/25/2025","7/30/2025","NBC","","Pending","Pending","75 COC","ROW","","","","","","","","","","","","","","",""
"3/26/2024","Others","9/12/2025","9/13/2025","1/20/2029","",".","","","","​","","","","","","","","","","","","","","","",""
"7/7/2023","EB2 NIW","6/2/2025","6/3/2025","7/3/2025","7/4/2025","","12/31/2025","Pending","Pending","39 COC","ROW","","","","","","","","","","","","","","",""
"8/26/2023","Others","","08/25/2025","9/25/2025","1/16/2026","BOSTON - LAWRENCE FO","03/04/2026","Pending","Pending","75 COC","ROW","","","","","","","","","","","","","","",""
"4/11/2024","EB2","","11/29/2025","1/6/2026","","NJ FO","03/09/2026","Pending","Pending","None","ROW","","","","","","","","","","","","","","",""
"6/1/2024","EB2 NIW","","04/09/2026","","","unknown","","","","75 COC","ROW","","","","","","","","","","","","","","",""
"","EB2","","6/27/2025","07/24/2025","09/20/2025","NBC","","Pending","","75 COC","","","","","","","","","","","","","","","",""
"02/22/2021","EB1 ","","6/1/2025","8/11/2025","","Baltimore ","4/28/2026","Pending","Pending","None","NROW","EB1-B","","","","","","","","","","","","","",""
"06/09/2023","EB2 NIW","","12/04/2024","01/15/2025","","NBC","02/20/2026","Pending","pending","75","ROW","","","","","","","","","","","","","","",""
"3/10/2024","EB1 ","2/2026","","","","Las Vegas","","","","","","","","","","","","","","","","","","","",""
"03/02/2023","Others","5/16/2025","5/19/2025","8/12/2025","8/13/2025","NBC","","Pending","Pending","39 COC","EB2 (PERM)","","","","","","","","","","","","","","",""
"06/07/2024","EB2","10/15/2025","10/17/2025","11/20/2025","04/24/2026","","","Pending","Pending","75","ROW","","","","","","","","","","","","","","",""
